# Inverse Perspective Mapping -- 3-D camera-frame coordinates
# Camera: height=1.70 m, pitch=15.0 deg (down)
# Intrinsics: fx=fy=1080.0 px, cx=960.0, cy=540.0
# Image: 1920 x 1080
# Format: pixel_u  pixel_v  Xc(m)  Yc(m)  Zc(m)
#
  575    261   -65.24602   -47.28218   183.02780
  576    261   -65.07655   -47.28218   183.02780
  577    261   -64.90708   -47.28218   183.02780
  578    261   -64.73761   -47.28218   183.02780
  579    261   -64.56814   -47.28218   183.02780
  580    261   -64.39867   -47.28218   183.02780
  581    261   -64.22920   -47.28218   183.02780
  582    261   -64.05973   -47.28218   183.02780
  583    261   -63.89026   -47.28218   183.02780
  584    261   -63.72079   -47.28218   183.02780
  585    261   -63.55132   -47.28218   183.02780
  586    261   -63.38185   -47.28218   183.02780
  587    261   -63.21238   -47.28218   183.02780
  588    261   -63.04291   -47.28218   183.02780
  591    261   -62.53450   -47.28218   183.02780
  592    261   -62.36503   -47.28218   183.02780
  593    261   -62.19556   -47.28218   183.02780
  594    261   -62.02609   -47.28218   183.02780
  595    261   -61.85662   -47.28218   183.02780
  597    261   -61.51768   -47.28218   183.02780
  598    261   -61.34821   -47.28218   183.02780
  599    261   -61.17874   -47.28218   183.02780
  600    261   -61.00927   -47.28218   183.02780
  625    261   -56.77251   -47.28218   183.02780
  626    261   -56.60304   -47.28218   183.02780
  627    261   -56.43357   -47.28218   183.02780
  628    261   -56.26410   -47.28218   183.02780
  629    261   -56.09463   -47.28218   183.02780
  630    261   -55.92516   -47.28218   183.02780
  631    261   -55.75569   -47.28218   183.02780
  632    261   -55.58622   -47.28218   183.02780
  633    261   -55.41675   -47.28218   183.02780
  634    261   -55.24728   -47.28218   183.02780
  635    261   -55.07781   -47.28218   183.02780
  636    261   -54.90834   -47.28218   183.02780
  637    261   -54.73887   -47.28218   183.02780
  638    261   -54.56940   -47.28218   183.02780
  639    261   -54.39993   -47.28218   183.02780
  640    261   -54.23046   -47.28218   183.02780
  641    261   -54.06099   -47.28218   183.02780
  642    261   -53.89152   -47.28218   183.02780
  643    261   -53.72205   -47.28218   183.02780
  644    261   -53.55258   -47.28218   183.02780
  645    261   -53.38311   -47.28218   183.02780
  646    261   -53.21364   -47.28218   183.02780
  647    261   -53.04417   -47.28218   183.02780
  648    261   -52.87470   -47.28218   183.02780
  649    261   -52.70523   -47.28218   183.02780
  650    261   -52.53576   -47.28218   183.02780
  816    261   -24.40371   -47.28218   183.02780
  817    261   -24.23424   -47.28218   183.02780
  818    261   -24.06477   -47.28218   183.02780
  819    261   -23.89530   -47.28218   183.02780
  831    261   -21.86165   -47.28218   183.02780
  832    261   -21.69218   -47.28218   183.02780
  833    261   -21.52271   -47.28218   183.02780
  834    261   -21.35324   -47.28218   183.02780
  835    261   -21.18377   -47.28218   183.02780
  840    261   -20.33642   -47.28218   183.02780
  841    261   -20.16695   -47.28218   183.02780
  842    261   -19.99748   -47.28218   183.02780
  843    261   -19.82801   -47.28218   183.02780
  844    261   -19.65854   -47.28218   183.02780
  845    261   -19.48907   -47.28218   183.02780
  575    262   -59.51521   -42.97462   166.95175
  576    262   -59.36062   -42.97462   166.95175
  577    262   -59.20604   -42.97462   166.95175
  578    262   -59.05145   -42.97462   166.95175
  579    262   -58.89687   -42.97462   166.95175
  580    262   -58.74228   -42.97462   166.95175
  581    262   -58.58770   -42.97462   166.95175
  582    262   -58.43311   -42.97462   166.95175
  583    262   -58.27853   -42.97462   166.95175
  584    262   -58.12394   -42.97462   166.95175
  585    262   -57.96936   -42.97462   166.95175
  586    262   -57.81477   -42.97462   166.95175
  587    262   -57.66019   -42.97462   166.95175
  588    262   -57.50560   -42.97462   166.95175
  589    262   -57.35102   -42.97462   166.95175
  590    262   -57.19643   -42.97462   166.95175
  592    262   -56.88726   -42.97462   166.95175
  593    262   -56.73268   -42.97462   166.95175
  594    262   -56.57809   -42.97462   166.95175
  595    262   -56.42351   -42.97462   166.95175
  624    262   -51.94055   -42.97462   166.95175
  625    262   -51.78596   -42.97462   166.95175
  626    262   -51.63138   -42.97462   166.95175
  627    262   -51.47679   -42.97462   166.95175
  628    262   -51.32221   -42.97462   166.95175
  629    262   -51.16762   -42.97462   166.95175
  630    262   -51.01304   -42.97462   166.95175
  631    262   -50.85845   -42.97462   166.95175
  632    262   -50.70387   -42.97462   166.95175
  633    262   -50.54928   -42.97462   166.95175
  634    262   -50.39470   -42.97462   166.95175
  635    262   -50.24011   -42.97462   166.95175
  636    262   -50.08553   -42.97462   166.95175
  637    262   -49.93094   -42.97462   166.95175
  638    262   -49.77636   -42.97462   166.95175
  639    262   -49.62177   -42.97462   166.95175
  640    262   -49.46719   -42.97462   166.95175
  645    262   -48.69426   -42.97462   166.95175
  646    262   -48.53968   -42.97462   166.95175
  647    262   -48.38509   -42.97462   166.95175
  648    262   -48.23051   -42.97462   166.95175
  649    262   -48.07592   -42.97462   166.95175
  650    262   -47.92134   -42.97462   166.95175
  832    262   -19.78687   -42.97462   166.95175
  833    262   -19.63229   -42.97462   166.95175
  834    262   -19.47770   -42.97462   166.95175
  835    262   -19.32312   -42.97462   166.95175
  836    262   -19.16853   -42.97462   166.95175
  842    262   -18.24103   -42.97462   166.95175
  843    262   -18.08644   -42.97462   166.95175
  844    262   -17.93186   -42.97462   166.95175
  845    262   -17.77727   -42.97462   166.95175
  846    262   -17.62269   -42.97462   166.95175
  576    263   -54.56773   -39.36266   153.47174
  577    263   -54.42562   -39.36266   153.47174
  578    263   -54.28352   -39.36266   153.47174
  582    263   -53.71511   -39.36266   153.47174
  583    263   -53.57300   -39.36266   153.47174
  584    263   -53.43090   -39.36266   153.47174
  585    263   -53.28880   -39.36266   153.47174
  588    263   -52.86249   -39.36266   153.47174
  589    263   -52.72038   -39.36266   153.47174
  590    263   -52.57828   -39.36266   153.47174
  591    263   -52.43618   -39.36266   153.47174
  593    263   -52.15197   -39.36266   153.47174
  594    263   -52.00987   -39.36266   153.47174
  595    263   -51.86776   -39.36266   153.47174
  596    263   -51.72566   -39.36266   153.47174
  597    263   -51.58356   -39.36266   153.47174
  623    263   -47.88887   -39.36266   153.47174
  624    263   -47.74676   -39.36266   153.47174
  625    263   -47.60466   -39.36266   153.47174
  626    263   -47.46256   -39.36266   153.47174
  627    263   -47.32045   -39.36266   153.47174
  628    263   -47.17835   -39.36266   153.47174
  629    263   -47.03624   -39.36266   153.47174
  630    263   -46.89414   -39.36266   153.47174
  631    263   -46.75204   -39.36266   153.47174
  632    263   -46.60993   -39.36266   153.47174
  633    263   -46.46783   -39.36266   153.47174
  634    263   -46.32573   -39.36266   153.47174
  635    263   -46.18362   -39.36266   153.47174
  636    263   -46.04152   -39.36266   153.47174
  637    263   -45.89942   -39.36266   153.47174
  640    263   -45.47311   -39.36266   153.47174
  641    263   -45.33100   -39.36266   153.47174
  642    263   -45.18890   -39.36266   153.47174
  643    263   -45.04680   -39.36266   153.47174
  644    263   -44.90469   -39.36266   153.47174
  645    263   -44.76259   -39.36266   153.47174
  646    263   -44.62049   -39.36266   153.47174
  647    263   -44.47838   -39.36266   153.47174
  648    263   -44.33628   -39.36266   153.47174
  649    263   -44.19418   -39.36266   153.47174
  650    263   -44.05207   -39.36266   153.47174
  833    263   -18.04714   -39.36266   153.47174
  834    263   -17.90504   -39.36266   153.47174
  835    263   -17.76293   -39.36266   153.47174
  836    263   -17.62083   -39.36266   153.47174
  837    263   -17.47873   -39.36266   153.47174
  844    263   -16.48400   -39.36266   153.47174
  845    263   -16.34190   -39.36266   153.47174
  846    263   -16.19979   -39.36266   153.47174
  578    264   -50.22801   -36.29040   142.00590
  579    264   -50.09652   -36.29040   142.00590
  580    264   -49.96504   -36.29040   142.00590
  581    264   -49.83355   -36.29040   142.00590
  582    264   -49.70206   -36.29040   142.00590
  583    264   -49.57058   -36.29040   142.00590
  584    264   -49.43909   -36.29040   142.00590
  585    264   -49.30760   -36.29040   142.00590
  586    264   -49.17612   -36.29040   142.00590
  587    264   -49.04463   -36.29040   142.00590
  588    264   -48.91314   -36.29040   142.00590
  590    264   -48.65017   -36.29040   142.00590
  591    264   -48.51868   -36.29040   142.00590
  593    264   -48.25571   -36.29040   142.00590
  594    264   -48.12422   -36.29040   142.00590
  595    264   -47.99273   -36.29040   142.00590
  596    264   -47.86125   -36.29040   142.00590
  597    264   -47.72976   -36.29040   142.00590
  598    264   -47.59827   -36.29040   142.00590
  599    264   -47.46679   -36.29040   142.00590
  600    264   -47.33530   -36.29040   142.00590
  601    264   -47.20381   -36.29040   142.00590
  602    264   -47.07232   -36.29040   142.00590
  603    264   -46.94084   -36.29040   142.00590
  604    264   -46.80935   -36.29040   142.00590
  623    264   -44.31110   -36.29040   142.00590
  624    264   -44.17961   -36.29040   142.00590
  625    264   -44.04813   -36.29040   142.00590
  626    264   -43.91664   -36.29040   142.00590
  627    264   -43.78515   -36.29040   142.00590
  628    264   -43.65366   -36.29040   142.00590
  629    264   -43.52218   -36.29040   142.00590
  630    264   -43.39069   -36.29040   142.00590
  631    264   -43.25920   -36.29040   142.00590
  632    264   -43.12772   -36.29040   142.00590
  633    264   -42.99623   -36.29040   142.00590
  634    264   -42.86474   -36.29040   142.00590
  635    264   -42.73326   -36.29040   142.00590
  636    264   -42.60177   -36.29040   142.00590
  637    264   -42.47028   -36.29040   142.00590
  638    264   -42.33879   -36.29040   142.00590
  639    264   -42.20731   -36.29040   142.00590
  640    264   -42.07582   -36.29040   142.00590
  641    264   -41.94433   -36.29040   142.00590
  642    264   -41.81285   -36.29040   142.00590
  643    264   -41.68136   -36.29040   142.00590
  644    264   -41.54987   -36.29040   142.00590
  645    264   -41.41839   -36.29040   142.00590
  646    264   -41.28690   -36.29040   142.00590
  647    264   -41.15541   -36.29040   142.00590
  648    264   -41.02393   -36.29040   142.00590
  649    264   -40.89244   -36.29040   142.00590
  650    264   -40.76095   -36.29040   142.00590
  834    264   -16.56735   -36.29040   142.00590
  835    264   -16.43587   -36.29040   142.00590
  836    264   -16.30438   -36.29040   142.00590
