# Inverse Perspective Mapping -- 3-D camera-frame coordinates
# Camera: height=1.70 m, pitch=15.0 deg (down)
# Intrinsics: fx=fy=1080.0 px, cx=960.0, cy=540.0
# Image: 1920 x 1080
# Format: pixel_u  pixel_v  Xc(m)  Yc(m)  Zc(m)
#
  872    261   -14.91338   -47.28218   183.02780
  873    261   -14.74391   -47.28218   183.02780
  873    262   -13.44889   -42.97462   166.95175
  874    262   -13.29431   -42.97462   166.95175
  875    263   -12.07879   -39.36266   153.47174
 1222    263    37.23111   -39.36266   153.47174
 1223    263    37.37321   -39.36266   153.47174
 1224    263    37.51531   -39.36266   153.47174
  882    265    -9.54302   -33.64528   132.13418
 1222    266    29.97128   -31.34401   123.54574
 1223    266    30.08568   -31.34401   123.54574
  880    267    -8.59301   -29.32365   116.00563
  881    268    -7.99750   -27.53570   109.33294
  891    272    -5.67861   -22.05607    88.88266
  876    276    -5.82378   -18.30331    74.87719
  877    276    -5.75445   -18.30331    74.87719
  878    276    -5.68512   -18.30331    74.87719
 1266    276    21.21520   -18.30331    74.87719
  875    277    -5.66976   -17.54291    72.03934
  876    277    -5.60306   -17.54291    72.03934
  877    277    -5.53636   -17.54291    72.03934
  878    277    -5.46965   -17.54291    72.03934
  879    277    -5.40295   -17.54291    72.03934
  887    277    -4.86933   -17.54291    72.03934
  888    277    -4.80262   -17.54291    72.03934
  889    277    -4.73592   -17.54291    72.03934
  890    277    -4.66922   -17.54291    72.03934
  901    277    -3.93548   -17.54291    72.03934
  902    277    -3.86878   -17.54291    72.03934
  903    277    -3.80208   -17.54291    72.03934
  904    277    -3.73537   -17.54291    72.03934
 1266    277    20.41114   -17.54291    72.03934
 1267    277    20.47785   -17.54291    72.03934
 1268    277    20.54455   -17.54291    72.03934
  874    278    -5.52699   -16.83804    69.40873
  875    278    -5.46272   -16.83804    69.40873
  876    278    -5.39846   -16.83804    69.40873
  877    278    -5.33419   -16.83804    69.40873
  878    278    -5.26992   -16.83804    69.40873
  879    278    -5.20566   -16.83804    69.40873
  880    278    -5.14139   -16.83804    69.40873
  886    278    -4.75578   -16.83804    69.40873
  887    278    -4.69152   -16.83804    69.40873
  888    278    -4.62725   -16.83804    69.40873
  889    278    -4.56298   -16.83804    69.40873
  890    278    -4.49871   -16.83804    69.40873
  891    278    -4.43445   -16.83804    69.40873
  892    278    -4.37018   -16.83804    69.40873
  893    278    -4.30591   -16.83804    69.40873
  894    278    -4.24164   -16.83804    69.40873
  895    278    -4.17738   -16.83804    69.40873
  896    278    -4.11311   -16.83804    69.40873
  900    278    -3.85604   -16.83804    69.40873
  901    278    -3.79177   -16.83804    69.40873
  902    278    -3.72751   -16.83804    69.40873
  903    278    -3.66324   -16.83804    69.40873
  904    278    -3.59897   -16.83804    69.40873
  905    278    -3.53470   -16.83804    69.40873
 1267    278    19.73008   -16.83804    69.40873
 1268    278    19.79434   -16.83804    69.40873
 1269    278    19.85861   -16.83804    69.40873
 1270    278    19.92288   -16.83804    69.40873
 1271    278    19.98714   -16.83804    69.40873
  874    279    -5.33228   -16.18284    66.96348
  875    279    -5.27027   -16.18284    66.96348
  876    279    -5.20827   -16.18284    66.96348
  878    279    -5.08426   -16.18284    66.96348
  879    279    -5.02226   -16.18284    66.96348
  880    279    -4.96026   -16.18284    66.96348
