# Inverse Perspective Mapping -- 3-D camera-frame coordinates
# Camera: height=1.70 m, pitch=15.0 deg (down)
# Intrinsics: fx=fy=1080.0 px, cx=960.0, cy=540.0
# Image: 1920 x 1080
# Format: pixel_u  pixel_v  Xc(m)  Yc(m)  Zc(m)
#
  986    261     4.40622   -47.28218   183.02780
  987    261     4.57569   -47.28218   183.02780
  988    261     4.74517   -47.28218   183.02780
  990    261     5.08411   -47.28218   183.02780
  991    261     5.25358   -47.28218   183.02780
  992    261     5.42305   -47.28218   183.02780
  993    261     5.59252   -47.28218   183.02780
  997    261     6.27040   -47.28218   183.02780
  998    261     6.43987   -47.28218   183.02780
  999    261     6.60934   -47.28218   183.02780
 1000    261     6.77881   -47.28218   183.02780
 1002    261     7.11775   -47.28218   183.02780
 1003    261     7.28722   -47.28218   183.02780
 1004    261     7.45669   -47.28218   183.02780
 1008    261     8.13457   -47.28218   183.02780
 1009    261     8.30404   -47.28218   183.02780
 1010    261     8.47351   -47.28218   183.02780
 1011    261     8.64298   -47.28218   183.02780
 1012    261     8.81245   -47.28218   183.02780
 1013    261     8.98192   -47.28218   183.02780
 1014    261     9.15139   -47.28218   183.02780
 1015    261     9.32086   -47.28218   183.02780
 1016    261     9.49033   -47.28218   183.02780
 1017    261     9.65980   -47.28218   183.02780
 1019    261     9.99874   -47.28218   183.02780
 1020    261    10.16821   -47.28218   183.02780
 1021    261    10.33768   -47.28218   183.02780
 1023    261    10.67662   -47.28218   183.02780
 1024    261    10.84609   -47.28218   183.02780
 1025    261    11.01556   -47.28218   183.02780
 1026    261    11.18503   -47.28218   183.02780
 1027    261    11.35450   -47.28218   183.02780
 1363    261    68.29648   -47.28218   183.02780
 1364    261    68.46595   -47.28218   183.02780
 1365    261    68.63542   -47.28218   183.02780
 1366    261    68.80489   -47.28218   183.02780
 1367    261    68.97436   -47.28218   183.02780
 1368    261    69.14383   -47.28218   183.02780
 1369    261    69.31330   -47.28218   183.02780
 1370    261    69.48277   -47.28218   183.02780
 1371    261    69.65224   -47.28218   183.02780
 1372    261    69.82172   -47.28218   183.02780
 1375    261    70.33013   -47.28218   183.02780
 1376    261    70.49960   -47.28218   183.02780
  986    262     4.01921   -42.97462   166.95175
  987    262     4.17379   -42.97462   166.95175
  988    262     4.32838   -42.97462   166.95175
  989    262     4.48296   -42.97462   166.95175
  992    262     4.94672   -42.97462   166.95175
  993    262     5.10130   -42.97462   166.95175
  994    262     5.25589   -42.97462   166.95175
  998    262     5.87423   -42.97462   166.95175
  999    262     6.02881   -42.97462   166.95175
 1000    262     6.18340   -42.97462   166.95175
 1001    262     6.33798   -42.97462   166.95175
 1003    262     6.64715   -42.97462   166.95175
 1004    262     6.80174   -42.97462   166.95175
 1005    262     6.95632   -42.97462   166.95175
 1009    262     7.57466   -42.97462   166.95175
 1010    262     7.72925   -42.97462   166.95175
 1011    262     7.88383   -42.97462   166.95175
 1012    262     8.03842   -42.97462   166.95175
 1013    262     8.19300   -42.97462   166.95175
 1015    262     8.50217   -42.97462   166.95175
 1016    262     8.65676   -42.97462   166.95175
 1017    262     8.81134   -42.97462   166.95175
 1018    262     8.96593   -42.97462   166.95175
 1020    262     9.27510   -42.97462   166.95175
 1021    262     9.42968   -42.97462   166.95175
 1022    262     9.58427   -42.97462   166.95175
 1023    262     9.73885   -42.97462   166.95175
 1025    262    10.04802   -42.97462   166.95175
 1026    262    10.20261   -42.97462   166.95175
 1027    262    10.35719   -42.97462   166.95175
 1028    262    10.51178   -42.97462   166.95175
 1365    262    62.60691   -42.97462   166.95175
 1366    262    62.76149   -42.97462   166.95175
 1367    262    62.91608   -42.97462   166.95175
 1368    262    63.07066   -42.97462   166.95175
 1369    262    63.22525   -42.97462   166.95175
 1370    262    63.37983   -42.97462   166.95175
 1371    262    63.53442   -42.97462   166.95175
 1372    262    63.68900   -42.97462   166.95175
  987    263     3.83679   -39.36266   153.47174
  988    263     3.97890   -39.36266   153.47174
  989    263     4.12100   -39.36266   153.47174
  990    263     4.26310   -39.36266   153.47174
  993    263     4.68941   -39.36266   153.47174
  994    263     4.83152   -39.36266   153.47174
  995    263     4.97362   -39.36266   153.47174
  999    263     5.54203   -39.36266   153.47174
 1000    263     5.68414   -39.36266   153.47174
 1001    263     5.82624   -39.36266   153.47174
 1003    263     6.11045   -39.36266   153.47174
 1004    263     6.25255   -39.36266   153.47174
 1005    263     6.39466   -39.36266   153.47174
 1006    263     6.53676   -39.36266   153.47174
 1010    263     7.10517   -39.36266   153.47174
 1011    263     7.24728   -39.36266   153.47174
 1012    263     7.38938   -39.36266   153.47174
 1013    263     7.53148   -39.36266   153.47174
 1014    263     7.67359   -39.36266   153.47174
 1016    263     7.95779   -39.36266   153.47174
 1017    263     8.09990   -39.36266   153.47174
 1018    263     8.24200   -39.36266   153.47174
 1021    263     8.66831   -39.36266   153.47174
 1022    263     8.81041   -39.36266   153.47174
 1023    263     8.95252   -39.36266   153.47174
 1024    263     9.09462   -39.36266   153.47174
 1026    263     9.37883   -39.36266   153.47174
 1027    263     9.52093   -39.36266   153.47174
 1028    263     9.66304   -39.36266   153.47174
 1029    263     9.80514   -39.36266   153.47174
 1368    263    57.97821   -39.36266   153.47174
 1369    263    58.12031   -39.36266   153.47174
 1370    263    58.26242   -39.36266   153.47174
 1371    263    58.40452   -39.36266   153.47174
 1372    263    58.54663   -39.36266   153.47174
 1373    263    58.68873   -39.36266   153.47174
 1374    263    58.83083   -39.36266   153.47174
  988    264     3.68163   -36.29040   142.00590
  989    264     3.81312   -36.29040   142.00590
  990    264     3.94461   -36.29040   142.00590
  991    264     4.07610   -36.29040   142.00590
  994    264     4.47056   -36.29040   142.00590
  995    264     4.60204   -36.29040   142.00590
  996    264     4.73353   -36.29040   142.00590
 1000    264     5.25948   -36.29040   142.00590
 1001    264     5.39096   -36.29040   142.00590
 1002    264     5.52245   -36.29040   142.00590
 1004    264     5.78543   -36.29040   142.00590
 1005    264     5.91691   -36.29040   142.00590
 1006    264     6.04840   -36.29040   142.00590
 1011    264     6.70583   -36.29040   142.00590
 1012    264     6.83732   -36.29040   142.00590
