# Inverse Perspective Mapping -- 3-D camera-frame coordinates
# Camera: height=1.70 m, pitch=15.0 deg (down)
# Intrinsics: fx=fy=1080.0 px, cx=960.0, cy=540.0
# Image: 1920 x 1080
# Format: pixel_u  pixel_v  Xc(m)  Yc(m)  Zc(m)
#
 1196    353     4.05677    -3.21447    18.56487
 1197    356     3.95799    -3.07287    18.03639
 1198    356     3.97469    -3.07287    18.03639
 1181    364     3.43037    -2.73188    16.76381
 1182    364     3.44589    -2.73188    16.76381
 1183    364     3.46142    -2.73188    16.76381
 1184    364     3.47694    -2.73188    16.76381
 1180    365     3.38500    -2.69261    16.61726
 1181    365     3.40038    -2.69261    16.61726
 1182    365     3.41577    -2.69261    16.61726
 1183    365     3.43116    -2.69261    16.61726
 1184    365     3.44654    -2.69261    16.61726
 1185    365     3.46193    -2.69261    16.61726
 1186    365     3.47731    -2.69261    16.61726
 1187    365     3.49270    -2.69261    16.61726
 1180    366     3.35566    -2.65402    16.47324
 1181    366     3.37091    -2.65402    16.47324
 1182    366     3.38617    -2.65402    16.47324
 1183    366     3.40142    -2.65402    16.47324
 1184    366     3.41667    -2.65402    16.47324
 1185    366     3.43193    -2.65402    16.47324
 1186    366     3.44718    -2.65402    16.47324
 1187    366     3.46243    -2.65402    16.47324
 1188    366     3.47768    -2.65402    16.47324
 1189    366     3.49294    -2.65402    16.47324
 1739    366    11.88209    -2.65402    16.47324
 1740    366    11.89734    -2.65402    16.47324
 1741    366    11.91259    -2.65402    16.47324
 1742    366    11.92785    -2.65402    16.47324
 1743    366    11.94310    -2.65402    16.47324
 1180    367     3.32683    -2.61610    16.33170
 1181    367     3.34195    -2.61610    16.33170
 1185    367     3.40244    -2.61610    16.33170
 1186    367     3.41756    -2.61610    16.33170
 1187    367     3.43268    -2.61610    16.33170
 1188    367     3.44780    -2.61610    16.33170
 1189    367     3.46293    -2.61610    16.33170
 1190    367     3.47805    -2.61610    16.33170
 1738    367    11.76487    -2.61610    16.33170
 1739    367    11.78000    -2.61610    16.33170
 1740    367    11.79512    -2.61610    16.33170
 1741    367    11.81024    -2.61610    16.33170
 1742    367    11.82536    -2.61610    16.33170
 1743    367    11.84048    -2.61610    16.33170
 1744    367    11.85560    -2.61610    16.33170
 1180    368     3.29849    -2.57882    16.19257
 1181    368     3.31348    -2.57882    16.19257
 1182    368     3.32847    -2.57882    16.19257
 1183    368     3.34347    -2.57882    16.19257
 1187    368     3.40344    -2.57882    16.19257
 1188    368     3.41843    -2.57882    16.19257
 1189    368     3.43342    -2.57882    16.19257
 1190    368     3.44842    -2.57882    16.19257
 1738    368    11.66465    -2.57882    16.19257
 1739    368    11.67964    -2.57882    16.19257
 1740    368    11.69463    -2.57882    16.19257
 1742    368    11.72462    -2.57882    16.19257
 1743    368    11.73961    -2.57882    16.19257
 1744    368    11.75461    -2.57882    16.19257
 1180    369     3.27062    -2.54217    16.05579
 1181    369     3.28549    -2.54217    16.05579
 1182    369     3.30036    -2.54217    16.05579
 1183    369     3.31522    -2.54217    16.05579
 1184    369     3.33009    -2.54217    16.05579
 1185    369     3.34496    -2.54217    16.05579
 1188    369     3.38956    -2.54217    16.05579
 1189    369     3.40442    -2.54217    16.05579
 1190    369     3.41929    -2.54217    16.05579
 1191    369     3.43416    -2.54217    16.05579
 1738    369    11.56612    -2.54217    16.05579
 1739    369    11.58098    -2.54217    16.05579
 1740    369    11.59585    -2.54217    16.05579
 1741    369    11.61072    -2.54217    16.05579
 1742    369    11.62558    -2.54217    16.05579
 1743    369    11.64045    -2.54217    16.05579
 1744    369    11.65532    -2.54217    16.05579
 1181    370     3.25797    -2.50613    15.92131
 1182    370     3.27271    -2.50613    15.92131
 1183    370     3.28745    -2.50613    15.92131
 1184    370     3.30220    -2.50613    15.92131
 1185    370     3.31694    -2.50613    15.92131
 1186    370     3.33168    -2.50613    15.92131
 1189    370     3.37591    -2.50613    15.92131
 1190    370     3.39065    -2.50613    15.92131
 1191    370     3.40539    -2.50613    15.92131
 1739    370    11.48398    -2.50613    15.92131
 1740    370    11.49872    -2.50613    15.92131
 1741    370    11.51346    -2.50613    15.92131
 1742    370    11.52820    -2.50613    15.92131
 1743    370    11.54295    -2.50613    15.92131
 1744    370    11.55769    -2.50613    15.92131
 1184    371     3.27477    -2.47069    15.78905
 1185    371     3.28939    -2.47069    15.78905
 1186    371     3.30401    -2.47069    15.78905
 1187    371     3.31862    -2.47069    15.78905
 1190    371     3.36248    -2.47069    15.78905
 1191    371     3.37710    -2.47069    15.78905
 1192    371     3.39172    -2.47069    15.78905
 1193    371     3.40634    -2.47069    15.78905
 1740    371    11.40320    -2.47069    15.78905
 1741    371    11.41782    -2.47069    15.78905
 1742    371    11.43244    -2.47069    15.78905
 1743    371    11.44706    -2.47069    15.78905
 1185    372     3.26229    -2.43584    15.65898
 1186    372     3.27679    -2.43584    15.65898
 1187    372     3.29129    -2.43584    15.65898
 1188    372     3.30578    -2.43584    15.65898
 1191    372     3.34928    -2.43584    15.65898
 1192    372     3.36378    -2.43584    15.65898
 1193    372     3.37828    -2.43584    15.65898
 1194    372     3.39278    -2.43584    15.65898
 1195    372     3.40728    -2.43584    15.65898
 1186    373     3.25001    -2.40156    15.53103
 1187    373     3.26439    -2.40156    15.53103
 1188    373     3.27877    -2.40156    15.53103
 1189    373     3.29315    -2.40156    15.53103
 1191    373     3.32191    -2.40156    15.53103
 1192    373     3.33630    -2.40156    15.53103
 1193    373     3.35068    -2.40156    15.53103
 1194    373     3.36506    -2.40156    15.53103
 1195    373     3.37944    -2.40156    15.53103
 1187    374     3.23794    -2.36783    15.40516
 1188    374     3.25220    -2.36783    15.40516
 1189    374     3.26646    -2.36783    15.40516
 1190    374     3.28073    -2.36783    15.40516
 1191    374     3.29499    -2.36783    15.40516
 1192    374     3.30926    -2.36783    15.40516
 1193    374     3.32352    -2.36783    15.40516
 1194    374     3.33778    -2.36783    15.40516
 1195    374     3.35205    -2.36783    15.40516
 1196    374     3.36631    -2.36783    15.40516
 1188    375     3.22605    -2.33464    15.28130
 1189    375     3.24020    -2.33464    15.28130
 1190    375     3.25435    -2.33464    15.28130
 1191    375     3.26850    -2.33464    15.28130
 1193    375     3.29680    -2.33464    15.28130
 1194    375     3.31095    -2.33464    15.28130
 1195    375     3.32510    -2.33464    15.28130
 1196    375     3.33925    -2.33464    15.28130
 1189    376     3.21436    -2.30199    15.15943
 1190    376     3.22840    -2.30199    15.15943
 1191    376     3.24243    -2.30199    15.15943
 1192    376     3.25647    -2.30199    15.15943
 1193    376     3.27051    -2.30199    15.15943
 1194    376     3.28454    -2.30199    15.15943
 1195    376     3.29858    -2.30199    15.15943
 1196    376     3.31262    -2.30199    15.15943
 1189    377     3.18893    -2.26985    15.03948
 1190    377     3.20285    -2.26985    15.03948
 1191    377     3.21678    -2.26985    15.03948
 1192    377     3.23070    -2.26985    15.03948
 1193    377     3.24463    -2.26985    15.03948
 1194    377     3.25855    -2.26985    15.03948
 1195    377     3.27248    -2.26985    15.03948
 1191    378     3.19153    -2.23821    14.92142
 1192    378     3.20534    -2.23821    14.92142
 1193    378     3.21916    -2.23821    14.92142
 1199    378     3.30206    -2.23821    14.92142
 1200    378     3.31587    -2.23821    14.92142
 1201    378     3.32969    -2.23821    14.92142
 1202    378     3.34350    -2.23821    14.92142
 1198    379     3.26263    -2.20707    14.80520
 1199    379     3.27634    -2.20707    14.80520
 1200    379     3.29004    -2.20707    14.80520
 1201    379     3.30375    -2.20707    14.80520
 1202    379     3.31746    -2.20707    14.80520
 1203    379     3.33117    -2.20707    14.80520
 1779    379    11.22727    -2.20707    14.80520
 1780    379    11.24098    -2.20707    14.80520
 1781    379    11.25469    -2.20707    14.80520
 1197    380     3.22381    -2.17641    14.69077
 1198    380     3.23741    -2.17641    14.69077
 1199    380     3.25101    -2.17641    14.69077
 1201    380     3.27822    -2.17641    14.69077
 1202    380     3.29182    -2.17641    14.69077
