# Inverse Perspective Mapping -- 3-D camera-frame coordinates
# Camera: height=1.70 m, pitch=15.0 deg (down)
# Intrinsics: fx=fy=1080.0 px, cx=960.0, cy=540.0
# Image: 1920 x 1080
# Format: pixel_u  pixel_v  Xc(m)  Yc(m)  Zc(m)
#
 1461    261    84.90456   -47.28218   183.02780
 1462    261    85.07403   -47.28218   183.02780
 1471    261    86.59926   -47.28218   183.02780
 1472    261    86.76873   -47.28218   183.02780
 1473    261    86.93820   -47.28218   183.02780
 1474    261    87.10767   -47.28218   183.02780
 1475    261    87.27714   -47.28218   183.02780
 1471    262    78.99291   -42.97462   166.95175
 1472    262    79.14750   -42.97462   166.95175
 1473    262    79.30208   -42.97462   166.95175
 1474    262    79.45667   -42.97462   166.95175
 1475    262    79.61125   -42.97462   166.95175
 1476    262    79.76584   -42.97462   166.95175
 1470    263    72.47276   -39.36266   153.47174
 1471    263    72.61487   -39.36266   153.47174
 1472    263    72.75697   -39.36266   153.47174
 1473    263    72.89907   -39.36266   153.47174
 1474    263    73.04118   -39.36266   153.47174
 1475    263    73.18328   -39.36266   153.47174
 1476    263    73.32538   -39.36266   153.47174
 1477    263    73.46749   -39.36266   153.47174
 1480    263    73.89380   -39.36266   153.47174
 1481    263    74.03590   -39.36266   153.47174
 1470    264    67.05834   -36.29040   142.00590
 1471    264    67.18983   -36.29040   142.00590
 1472    264    67.32131   -36.29040   142.00590
 1473    264    67.45280   -36.29040   142.00590
 1475    264    67.71577   -36.29040   142.00590
 1476    264    67.84726   -36.29040   142.00590
 1479    264    68.24172   -36.29040   142.00590
 1480    264    68.37321   -36.29040   142.00590
 1481    264    68.50470   -36.29040   142.00590
 1482    264    68.63618   -36.29040   142.00590
 1483    264    68.76767   -36.29040   142.00590
 1484    264    68.89916   -36.29040   142.00590
 1470    265    62.39670   -33.64528   132.13418
 1471    265    62.51904   -33.64528   132.13418
 1472    265    62.64139   -33.64528   132.13418
 1473    265    62.76374   -33.64528   132.13418
 1474    265    62.88608   -33.64528   132.13418
 1475    265    63.00843   -33.64528   132.13418
 1476    265    63.13077   -33.64528   132.13418
 1479    265    63.49781   -33.64528   132.13418
 1480    265    63.62016   -33.64528   132.13418
 1481    265    63.74251   -33.64528   132.13418
 1482    265    63.86485   -33.64528   132.13418
 1483    265    63.98720   -33.64528   132.13418
 1484    265    64.10955   -33.64528   132.13418
 1485    265    64.23189   -33.64528   132.13418
 1486    265    64.35424   -33.64528   132.13418
  689    266   -31.00083   -31.34401   123.54574
  690    266   -30.88644   -31.34401   123.54574
 1471    266    58.45544   -31.34401   123.54574
 1472    266    58.56983   -31.34401   123.54574
 1473    266    58.68423   -31.34401   123.54574
 1474    266    58.79862   -31.34401   123.54574
 1475    266    58.91302   -31.34401   123.54574
 1476    266    59.02741   -31.34401   123.54574
 1478    266    59.25620   -31.34401   123.54574
 1479    266    59.37059   -31.34401   123.54574
 1480    266    59.48499   -31.34401   123.54574
 1481    266    59.59938   -31.34401   123.54574
 1482    266    59.71378   -31.34401   123.54574
 1483    266    59.82817   -31.34401   123.54574
 1484    266    59.94256   -31.34401   123.54574
 1485    266    60.05696   -31.34401   123.54574
 1486    266    60.17135   -31.34401   123.54574
