# Inverse Perspective Mapping -- 3-D camera-frame coordinates
# Camera: height=1.70 m, pitch=15.0 deg (down)
# Intrinsics: fx=fy=1080.0 px, cx=960.0, cy=540.0
# Image: 1920 x 1080
# Format: pixel_u  pixel_v  Xc(m)  Yc(m)  Zc(m)
#
  724    261   -39.99496   -47.28218   183.02780
  725    261   -39.82549   -47.28218   183.02780
  726    261   -39.65602   -47.28218   183.02780
  727    261   -39.48655   -47.28218   183.02780
  728    261   -39.31708   -47.28218   183.02780
  729    261   -39.14761   -47.28218   183.02780
  730    261   -38.97814   -47.28218   183.02780
  731    261   -38.80867   -47.28218   183.02780
  733    261   -38.46973   -47.28218   183.02780
  734    261   -38.30026   -47.28218   183.02780
  735    261   -38.13079   -47.28218   183.02780
  736    261   -37.96132   -47.28218   183.02780
  737    261   -37.79185   -47.28218   183.02780
  725    262   -36.32747   -42.97462   166.95175
  726    262   -36.17288   -42.97462   166.95175
  727    262   -36.01830   -42.97462   166.95175
  728    262   -35.86371   -42.97462   166.95175
  729    262   -35.70913   -42.97462   166.95175
  730    262   -35.55454   -42.97462   166.95175
  731    262   -35.39996   -42.97462   166.95175
  732    262   -35.24537   -42.97462   166.95175
  733    262   -35.09079   -42.97462   166.95175
  734    262   -34.93620   -42.97462   166.95175
  735    262   -34.78162   -42.97462   166.95175
  736    262   -34.62703   -42.97462   166.95175
  737    262   -34.47245   -42.97462   166.95175
  726    263   -33.25221   -39.36266   153.47174
  727    263   -33.11011   -39.36266   153.47174
  728    263   -32.96800   -39.36266   153.47174
  729    263   -32.82590   -39.36266   153.47174
  730    263   -32.68380   -39.36266   153.47174
  731    263   -32.54169   -39.36266   153.47174
  732    263   -32.39959   -39.36266   153.47174
  733    263   -32.25749   -39.36266   153.47174
  734    263   -32.11538   -39.36266   153.47174
  735    263   -31.97328   -39.36266   153.47174
  736    263   -31.83117   -39.36266   153.47174
  728    264   -30.50497   -36.29040   142.00590
  729    264   -30.37348   -36.29040   142.00590
  730    264   -30.24200   -36.29040   142.00590
  731    264   -30.11051   -36.29040   142.00590
  732    264   -29.97902   -36.29040   142.00590
  733    264   -29.84754   -36.29040   142.00590
  734    264   -29.71605   -36.29040   142.00590
  735    264   -29.58456   -36.29040   142.00590
  736    264   -29.45307   -36.29040   142.00590
  740    264   -28.92713   -36.29040   142.00590
  741    264   -28.79564   -36.29040   142.00590
  742    264   -28.66415   -36.29040   142.00590
  729    265   -28.26203   -33.64528   132.13418
  730    265   -28.13969   -33.64528   132.13418
  731    265   -28.01734   -33.64528   132.13418
  732    265   -27.89499   -33.64528   132.13418
  733    265   -27.77265   -33.64528   132.13418
  734    265   -27.65030   -33.64528   132.13418
  735    265   -27.52795   -33.64528   132.13418
  738    265   -27.16091   -33.64528   132.13418
  739    265   -27.03857   -33.64528   132.13418
  740    265   -26.91622   -33.64528   132.13418
  741    265   -26.79388   -33.64528   132.13418
  742    265   -26.67153   -33.64528   132.13418
  743    265   -26.54918   -33.64528   132.13418
  731    266   -26.19627   -31.34401   123.54574
  732    266   -26.08188   -31.34401   123.54574
  733    266   -25.96749   -31.34401   123.54574
  734    266   -25.85309   -31.34401   123.54574
  738    266   -25.39551   -31.34401   123.54574
  739    266   -25.28112   -31.34401   123.54574
  740    266   -25.16673   -31.34401   123.54574
  741    266   -25.05233   -31.34401   123.54574
  742    266   -24.93794   -31.34401   123.54574
  743    266   -24.82354   -31.34401   123.54574
  744    266   -24.70915   -31.34401   123.54574
  735    267   -24.16784   -29.32365   116.00563
  736    267   -24.06043   -29.32365   116.00563
  737    267   -23.95301   -29.32365   116.00563
  738    267   -23.84560   -29.32365   116.00563
  739    267   -23.73819   -29.32365   116.00563
  740    267   -23.63078   -29.32365   116.00563
  741    267   -23.52336   -29.32365   116.00563
  742    267   -23.41595   -29.32365   116.00563
  743    267   -23.30854   -29.32365   116.00563
  744    267   -23.20113   -29.32365   116.00563
  735    268   -22.77769   -27.53570   109.33294
  736    268   -22.67646   -27.53570   109.33294
  737    268   -22.57523   -27.53570   109.33294
  738    268   -22.47399   -27.53570   109.33294
  739    268   -22.37276   -27.53570   109.33294
  741    268   -22.17029   -27.53570   109.33294
  742    268   -22.06906   -27.53570   109.33294
  743    268   -21.96782   -27.53570   109.33294
  744    268   -21.86659   -27.53570   109.33294
  735    269   -21.53878   -25.94226   103.38612
  736    269   -21.44305   -25.94226   103.38612
  737    269   -21.34732   -25.94226   103.38612
  738    269   -21.25159   -25.94226   103.38612
  741    269   -20.96441   -25.94226   103.38612
  742    269   -20.86868   -25.94226   103.38612
  743    269   -20.77295   -25.94226   103.38612
  744    269   -20.67722   -25.94226   103.38612
  735    270   -20.42768   -24.51321    98.05285
  736    270   -20.33689   -24.51321    98.05285
  737    270   -20.24610   -24.51321    98.05285
  738    270   -20.15531   -24.51321    98.05285
  739    270   -20.06452   -24.51321    98.05285
  741    270   -19.88294   -24.51321    98.05285
  742    270   -19.79215   -24.51321    98.05285
  743    270   -19.70136   -24.51321    98.05285
  744    270   -19.61057   -24.51321    98.05285
  745    270   -19.51978   -24.51321    98.05285
  736    271   -19.33925   -23.22437    93.24283
  737    271   -19.25292   -23.22437    93.24283
  738    271   -19.16658   -23.22437    93.24283
  739    271   -19.08025   -23.22437    93.24283
  742    271   -18.82124   -23.22437    93.24283
  743    271   -18.73490   -23.22437    93.24283
  744    271   -18.64857   -23.22437    93.24283
  745    271   -18.56223   -23.22437    93.24283
  746    271   -18.47589   -23.22437    93.24283
  747    271   -18.38956   -23.22437    93.24283
  736    272   -18.43492   -22.05607    88.88266
  737    272   -18.35262   -22.05607    88.88266
  738    272   -18.27032   -22.05607    88.88266
  739    272   -18.18803   -22.05607    88.88266
  740    272   -18.10573   -22.05607    88.88266
  742    272   -17.94113   -22.05607    88.88266
  743    272   -17.85883   -22.05607    88.88266
  745    272   -17.69423   -22.05607    88.88266
  746    272   -17.61193   -22.05607    88.88266
  747    272   -17.52964   -22.05607    88.88266
  748    272   -17.44734   -22.05607    88.88266
  749    272   -17.36504   -22.05607    88.88266
  737    273   -17.53277   -20.99215    84.91205
  738    273   -17.45414   -20.99215    84.91205
  739    273   -17.37552   -20.99215    84.91205
  740    273   -17.29690   -20.99215    84.91205
  741    273   -17.21828   -20.99215    84.91205
  742    273   -17.13965   -20.99215    84.91205
  745    273   -16.90379   -20.99215    84.91205
  746    273   -16.82517   -20.99215    84.91205
  747    273   -16.74654   -20.99215    84.91205
  748    273   -16.66792   -20.99215    84.91205
  749    273   -16.58930   -20.99215    84.91205
  750    273   -16.51068   -20.99215    84.91205
  738    274   -16.70777   -20.01921    81.28102
  739    274   -16.63251   -20.01921    81.28102
  740    274   -16.55725   -20.01921    81.28102
  741    274   -16.48198   -20.01921    81.28102
  742    274   -16.40672   -20.01921    81.28102
  744    274   -16.25620   -20.01921    81.28102
  745    274   -16.18094   -20.01921    81.28102
  746    274   -16.10568   -20.01921    81.28102
  747    274   -16.03042   -20.01921    81.28102
  748    274   -15.95516   -20.01921    81.28102
  749    274   -15.87990   -20.01921    81.28102
  750    274   -15.80464   -20.01921    81.28102
  739    275   -15.95043   -19.12608    77.94780
  740    275   -15.87826   -19.12608    77.94780
  741    275   -15.80608   -19.12608    77.94780
  742    275   -15.73391   -19.12608    77.94780
  743    275   -15.66173   -19.12608    77.94780
  744    275   -15.58956   -19.12608    77.94780
  745    275   -15.51739   -19.12608    77.94780
  746    275   -15.44521   -19.12608    77.94780
  747    275   -15.37304   -19.12608    77.94780
  748    275   -15.30086   -19.12608    77.94780
  749    275   -15.22869   -19.12608    77.94780
  750    275   -15.15652   -19.12608    77.94780
  751    275   -15.08434   -19.12608    77.94780
  742    276   -15.11410   -18.30331    74.87719
  743    276   -15.04477   -18.30331    74.87719
  744    276   -14.97544   -18.30331    74.87719
  745    276   -14.90611   -18.30331    74.87719
  747    276   -14.76745   -18.30331    74.87719
  748    276   -14.69812   -18.30331    74.87719
  749    276   -14.62878   -18.30331    74.87719
  750    276   -14.55945   -18.30331    74.87719
  751    276   -14.49012   -18.30331    74.87719
  752    276   -14.42079   -18.30331    74.87719
  742    277   -14.54127   -17.54291    72.03934
  743    277   -14.47457   -17.54291    72.03934
  744    277   -14.40787   -17.54291    72.03934
  745    277   -14.34116   -17.54291    72.03934
  746    277   -14.27446   -17.54291    72.03934
  747    277   -14.20776   -17.54291    72.03934
  748    277   -14.14105   -17.54291    72.03934
  749    277   -14.07435   -17.54291    72.03934
  750    277   -14.00765   -17.54291    72.03934
  751    277   -13.94095   -17.54291    72.03934
  752    277   -13.87424   -17.54291    72.03934
  753    277   -13.80754   -17.54291    72.03934
  743    278   -13.94601   -16.83804    69.40873
  744    278   -13.88175   -16.83804    69.40873
  745    278   -13.81748   -16.83804    69.40873
  746    278   -13.75321   -16.83804    69.40873
  747    278   -13.68894   -16.83804    69.40873
  748    278   -13.62468   -16.83804    69.40873
  749    278   -13.56041   -16.83804    69.40873
  750    278   -13.49614   -16.83804    69.40873
  751    278   -13.43188   -16.83804    69.40873
  752    278   -13.36761   -16.83804    69.40873
  753    278   -13.30334   -16.83804    69.40873
  743    279   -13.45470   -16.18284    66.96348
  744    279   -13.39270   -16.18284    66.96348
  745    279   -13.33069   -16.18284    66.96348
  746    279   -13.26869   -16.18284    66.96348
  747    279   -13.20669   -16.18284    66.96348
  748    279   -13.14468   -16.18284    66.96348
  749    279   -13.08268   -16.18284    66.96348
  750    279   -13.02068   -16.18284    66.96348
  751    279   -12.95867   -16.18284    66.96348
  752    279   -12.89667   -16.18284    66.96348
  753    279   -12.83467   -16.18284    66.96348
  754    279   -12.77266   -16.18284    66.96348
  744    280   -12.93693   -15.57223    64.68466
  745    280   -12.87704   -15.57223    64.68466
  746    280   -12.81715   -15.57223    64.68466
  747    280   -12.75725   -15.57223    64.68466
  748    280   -12.69736   -15.57223    64.68466
  750    280   -12.57757   -15.57223    64.68466
  751    280   -12.51768   -15.57223    64.68466
  752    280   -12.45779   -15.57223    64.68466
  753    280   -12.39789   -15.57223    64.68466
  754    280   -12.33800   -15.57223    64.68466
  755    280   -12.27811   -15.57223    64.68466
  731    281   -13.26415   -15.00182    62.55584
  744    281   -12.51117   -15.00182    62.55584
  745    281   -12.45325   -15.00182    62.55584
  746    281   -12.39532   -15.00182    62.55584
  747    281   -12.33740   -15.00182    62.55584
  748    281   -12.27948   -15.00182    62.55584
  750    281   -12.16363   -15.00182    62.55584
  751    281   -12.10571   -15.00182    62.55584
  752    281   -12.04779   -15.00182    62.55584
  753    281   -11.98987   -15.00182    62.55584
  754    281   -11.93195   -15.00182    62.55584
  755    281   -11.87402   -15.00182    62.55584
  756    281   -11.81610   -15.00182    62.55584
  727    282   -13.06583   -14.46775    60.56267
  728    282   -13.00976   -14.46775    60.56267
  729    282   -12.95368   -14.46775    60.56267
  730    282   -12.89761   -14.46775    60.56267
  731    282   -12.84153   -14.46775    60.56267
  732    282   -12.78545   -14.46775    60.56267
  733    282   -12.72938   -14.46775    60.56267
  734    282   -12.67330   -14.46775    60.56267
  735    282   -12.61722   -14.46775    60.56267
  744    282   -12.11253   -14.46775    60.56267
  745    282   -12.05646   -14.46775    60.56267
  746    282   -12.00038   -14.46775    60.56267
  747    282   -11.94430   -14.46775    60.56267
  748    282   -11.88823   -14.46775    60.56267
  751    282   -11.72000   -14.46775    60.56267
  752    282   -11.66392   -14.46775    60.56267
  753    282   -11.60784   -14.46775    60.56267
  754    282   -11.55177   -14.46775    60.56267
  755    282   -11.49569   -14.46775    60.56267
  756    282   -11.43962   -14.46775    60.56267
  757    282   -11.38354   -14.46775    60.56267
  726    283   -12.71673   -13.96666    58.69259
  727    283   -12.66238   -13.96666    58.69259
  728    283   -12.60804   -13.96666    58.69259
  729    283   -12.55369   -13.96666    58.69259
  730    283   -12.49935   -13.96666    58.69259
  731    283   -12.44500   -13.96666    58.69259
  732    283   -12.39066   -13.96666    58.69259
  733    283   -12.33631   -13.96666    58.69259
  734    283   -12.28197   -13.96666    58.69259
  735    283   -12.22762   -13.96666    58.69259
  736    283   -12.17328   -13.96666    58.69259
  744    283   -11.73852   -13.96666    58.69259
  745    283   -11.68417   -13.96666    58.69259
  746    283   -11.62983   -13.96666    58.69259
  747    283   -11.57548   -13.96666    58.69259
  748    283   -11.52114   -13.96666    58.69259
  749    283   -11.46679   -13.96666    58.69259
